
2025/11/19 (13:18:54) | ===> btop++ v.1.3.0
2025/11/19 (13:18:54) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:18:54) | ERROR: Invalid size of hex value: 111

2025/11/19 (13:32:40) | ===> btop++ v.1.3.0
2025/11/19 (13:32:40) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:32:40) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:32:40) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:32:40) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:32:40) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:32:40) | ERROR: Invalid size of hex value: 111
2025/11/19 (13:32:40) | ERROR: Invalid size of hex value: 444

2025/11/19 (13:33:19) | ===> btop++ v.1.3.0
2025/11/19 (13:33:19) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:33:19) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:33:19) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:33:19) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:33:19) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:33:19) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:33:19) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:33:19) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:33:19) | ERROR: Invalid size of hex value: 111
2025/11/19 (13:33:19) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:33:19) | ERROR: Invalid size of hex value: 444

2025/11/19 (13:34:14) | ===> btop++ v.1.3.0
2025/11/19 (13:34:14) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:34:14) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:34:14) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:34:14) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:34:14) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:34:14) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:34:14) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:34:14) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:34:14) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:34:14) | ERROR: Invalid size of hex value: 111
2025/11/19 (13:34:14) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:34:14) | ERROR: Invalid size of hex value: 444

2025/11/19 (13:34:46) | ===> btop++ v.1.3.0
2025/11/19 (13:34:46) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:34:46) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:34:46) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:34:46) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:34:46) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:34:46) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:34:46) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:34:46) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:34:46) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:34:46) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:34:46) | ERROR: Invalid size of hex value: 111
2025/11/19 (13:34:46) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:34:46) | ERROR: Invalid size of hex value: 444

2025/11/19 (13:36:09) | ===> btop++ v.1.3.0
2025/11/19 (13:36:09) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:36:09) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:36:09) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:36:09) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:36:09) | ERROR: Invalid size of hex value: eee
2025/11/19 (13:36:09) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:36:09) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:36:09) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:36:09) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:36:09) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:36:09) | ERROR: Invalid size of hex value: 444

2025/11/19 (13:36:39) | ===> btop++ v.1.3.0
2025/11/19 (13:36:39) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:36:39) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:36:39) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:36:39) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:36:39) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:36:39) | ERROR: Invalid size of hex value: 444
2025/11/19 (13:36:39) | ERROR: Invalid size of hex value: 444
